Zone,Id,Type,Lat,Long
Zone_1,3872,single_house,7.749614705,48.63159991
Zone_1,3920,single_house,7.750229751,48.63179697
Zone_1,3773,single_house,7.74948053,48.6311212
Zone_1,3870,single_house,7.750073958,48.63157271
Zone_1,3839,single_house,7.749942495,48.63142215
Zone_1,3788,single_house,7.750112329,48.63116736
Zone_1,3762,single_house,7.750377265,48.63105994
Zone_1,3949,single_house,7.750081199,48.63190518
Zone_1,4118,garage,7.749133934,48.6326874
Zone_1,4013,single_house,7.749507452,48.63220379
Zone_1,4199,single_house,7.749962826,48.63306221
Zone_1,4214,single_house,7.74953781,48.6331225
Zone_1,3967,single_house,7.751159811,48.6319656
Zone_1,4004,single_house,7.750536617,48.63212537
Zone_1,3959,single_house,7.751397389,48.63192095
Zone_1,3816,commercial_building,7.751394841,48.63107777
Zone_1,3942,single_house,7.751874748,48.63178641
Zone_1,3852,single_house,7.752312416,48.63134239
Zone_1,3866,single_house,7.752034021,48.63144887
Zone_1,3918,single_house,7.752505247,48.63168379
Zone_1,3405,single_house,7.752471404,48.62818898
Zone_1,3381,collective_house,7.751051651,48.6277978
Zone_1,3482,light_building,7.750657904,48.62923702
Zone_1,3437,single_house,7.750672531,48.62876579
Zone_1,3418,single_house,7.751010143,48.62848391
Zone_1,3413,single_house,7.750650533,48.62847737
Zone_1,3434,single_house,7.751710233,48.62865244
Zone_1,3443,single_house,7.751572083,48.6288118
Zone_1,3444,single_house,7.752122688,48.62879167
Zone_1,3432,single_house,7.751087144,48.62868505
Zone_1,3446,single_house,7.751899424,48.62880809
Zone_1,3502,single_house,7.75213329,48.62928297
Zone_1,3456,single_house,7.753557141,48.62881425
Zone_1,3406,single_house,7.752226636,48.62816693
Zone_1,3385,single_house,7.751306568,48.62786795
Zone_1,3410,single_house,7.751427036,48.62833457
Zone_1,3429,single_house,7.752239732,48.62859597
Zone_1,3426,single_house,7.752053268,48.62851341
Zone_1,3412,single_house,7.751770694,48.6283546
Zone_1,3417,single_house,7.751688311,48.62842147
Zone_1,3881,single_house,7.747522778,48.63175836
Zone_1,3396,single_house,7.751756026,48.62799386
Zone_1,3409,single_house,7.752740324,48.62825403
Zone_1,3400,single_house,7.751606728,48.62812335
